nohup: ignoring input
Read Training Data ...
Done ...
Read Testing Data ...
Done ...
Train Epoch 1 iter 88 Loss: 2.2616, Accuracy: 0.2000
Train Epoch 1 iter 89 Loss: 2.2591, Accuracy: 0.1200
Train Epoch 1 iter 90 Loss: 2.2868, Accuracy: 0.1600
Train Epoch 1 iter 91 Loss: 2.2556, Accuracy: 0.1400
Train Epoch 1 iter 92 Loss: 2.2492, Accuracy: 0.1400
Train Epoch 1 iter 93 Loss: 2.2414, Accuracy: 0.1600
Train Epoch 1 iter 94 Loss: 2.2792, Accuracy: 0.1000
Train Epoch 1 iter 95 Loss: 2.2048, Accuracy: 0.2400
Train Epoch 1 iter 96 Loss: 2.2141, Accuracy: 0.1600
Train Epoch 1 iter 97 Loss: 2.2546, Accuracy: 0.1400
Train Epoch 1 iter 98 Loss: 2.2100, Accuracy: 0.1600
Train Epoch 1 iter 99 Loss: 2.3602, Accuracy: 0.1000
Train Epoch 1 iter 100 Loss: 2.3683, Accuracy: 0.0800
Train Epoch 1 iter 101 Loss: 2.2594, Accuracy: 0.0800
Train Epoch 1 iter 102 Loss: 2.3410, Accuracy: 0.1000
Train Epoch 1 iter 103 Loss: 2.3627, Accuracy: 0.0600
Train Epoch 1 iter 104 Loss: 2.2928, Accuracy: 0.1400
Train Epoch 1 iter 105 Loss: 2.2087, Accuracy: 0.1600
Train Epoch 1 iter 106 Loss: 2.2305, Accuracy: 0.2200
Train Epoch 1 iter 107 Loss: 2.2581, Accuracy: 0.1600
Train Epoch 1 iter 108 Loss: 2.2639, Accuracy: 0.1000
Train Epoch 1 iter 109 Loss: 2.2586, Accuracy: 0.1400
Train Epoch 1 iter 110 Loss: 2.1374, Accuracy: 0.1400
Train Epoch 1 iter 111 Loss: 2.2904, Accuracy: 0.1200
Train Epoch 1 iter 112 Loss: 2.1737, Accuracy: 0.1800
Train Epoch 1 iter 113 Loss: 2.2542, Accuracy: 0.1600
Train Epoch 1 iter 114 Loss: 2.2584, Accuracy: 0.1600
Train Epoch 1 iter 115 Loss: 2.2520, Accuracy: 0.2000
Train Epoch 1 iter 116 Loss: 2.2565, Accuracy: 0.1400
Train Epoch 1 iter 117 Loss: 2.2115, Accuracy: 0.1600
Train Epoch 1 iter 118 Loss: 2.3521, Accuracy: 0.1000
Train Epoch 1 iter 119 Loss: 2.1805, Accuracy: 0.2600
Train Epoch 1 iter 120 Loss: 2.2243, Accuracy: 0.1800
Train Epoch 1 iter 121 Loss: 2.2432, Accuracy: 0.1400
Train Epoch 1 iter 122 Loss: 2.3249, Accuracy: 0.1000
Train Epoch 1 iter 123 Loss: 2.2735, Accuracy: 0.1400
Train Epoch 1 iter 124 Loss: 2.1808, Accuracy: 0.1200
Train Epoch 1 iter 125 Loss: 2.3270, Accuracy: 0.1800
Train Epoch 1 iter 126 Loss: 2.3570, Accuracy: 0.0800
Train Epoch 1 iter 127 Loss: 2.2515, Accuracy: 0.0800
Train Epoch 1 iter 128 Loss: 2.2939, Accuracy: 0.1400
Train Epoch 1 iter 129 Loss: 2.1718, Accuracy: 0.1200
Train Epoch 1 iter 130 Loss: 2.2518, Accuracy: 0.1200
Train Epoch 1 iter 131 Loss: 2.2637, Accuracy: 0.0800
Train Epoch 1 iter 132 Loss: 2.2864, Accuracy: 0.1000
Train Epoch 1 iter 133 Loss: 2.2667, Accuracy: 0.1200
Train Epoch 1 iter 134 Loss: 2.2405, Accuracy: 0.0800
Train Epoch 1 iter 135 Loss: 2.2779, Accuracy: 0.1200
Train Epoch 1 iter 136 Loss: 2.2027, Accuracy: 0.2200
Train Epoch 1 iter 137 Loss: 2.2313, Accuracy: 0.1800
Train Epoch 1 iter 138 Loss: 2.3287, Accuracy: 0.1000
Train Epoch 1 iter 139 Loss: 2.2267, Accuracy: 0.1200
Train Epoch 1 iter 140 Loss: 2.1552, Accuracy: 0.2600
Train Epoch 1 iter 141 Loss: 2.2883, Accuracy: 0.1800
Train Epoch 1 iter 142 Loss: 2.2260, Accuracy: 0.1600
Train Epoch 1 iter 143 Loss: 2.2509, Accuracy: 0.1400
Train Epoch 1 iter 144 Loss: 2.2514, Accuracy: 0.2200
Train Epoch 1 iter 145 Loss: 2.2820, Accuracy: 0.1400
Train Epoch 1 iter 146 Loss: 2.2501, Accuracy: 0.0800
Train Epoch 1 iter 147 Loss: 2.3936, Accuracy: 0.0800
